deliveryDate,OrderQuantity
2024-02-21,22
2023-03-03,15
2025-01-14,19
2024-10-21,15
2024-10-11,17
2022-12-15,23
2024-08-28,16
2024-07-29,19
2024-11-01,19
2022-12-30,21
2024-04-05,18
2023-02-09,16
2023-12-20,18
2023-07-07,23
2024-08-01,16
2024-02-05,16
2023-10-03,17
2024-04-15,19
2023-09-26,19
2022-08-18,17
2024-04-24,21
2024-04-26,21
2022-12-02,22
2023-11-02,19
2024-03-18,20
2023-07-27,17
2024-10-30,21
2024-11-05,15
2025-02-12,17
2024-01-02,19
2024-09-25,19
2023-08-01,18
2022-09-28,20
2023-11-16,17
2023-12-03,17
2024-12-12,23
2023-01-31,16
2022-10-03,20
2022-03-30,23
2024-06-19,15
2023-03-29,22
2022-05-09,25
2025-01-09,17
2024-09-12,20
2024-03-28,20
2023-01-02,16
2023-02-07,13
2023-02-08,21
2023-01-13,14
2022-03-16,17
2023-05-30,14
2022-03-14,23
2022-03-31,15
2024-05-29,15
2022-03-30,21
2024-08-22,16
2024-09-18,20
2024-12-23,15
2023-04-20,11
2023-07-05,14
2022-08-16,21
2023-10-26,11
2023-04-24,19
2024-02-05,25
2023-08-14,15
2022-07-05,24
2024-08-14,16
2023-05-07,12
2023-04-19,15
2023-05-09,14
2022-06-07,13
2023-03-31,19
2024-12-25,19
2024-05-03,17
2023-05-16,21
2023-09-07,20
2022-05-10,19
2023-11-21,16
2024-09-11,15
2023-05-29,20
2024-06-24,18
2023-08-25,22
2022-10-24,18
2023-01-18,19
2024-03-21,17
2023-07-06,11
2023-03-10,21
2022-01-03,17
2024-01-04,18
2023-08-31,16
2023-06-22,14
2022-09-08,17
2024-08-21,15
2022-12-22,12
2023-06-02,16
2023-07-25,21
2024-05-06,22
2022-05-10,18
2024-04-03,18
2023-11-28,12
2023-05-10,17
2024-01-23,17
2023-12-01,19
2024-11-18,21
2024-04-15,16
2023-10-23,19
2024-04-12,22
2023-04-05,17
2024-12-16,15
2023-09-14,20
2024-04-30,18
2022-07-19,22
2023-09-19,19
2022-03-29,19
2023-05-17,20
2024-03-22,15
2024-01-19,18
2024-04-11,21
2023-06-06,26
2022-08-23,15
2024-09-27,15
2023-02-07,17
2023-10-06,21
2022-07-04,16
2024-01-15,12
2023-01-10,18
2023-05-26,21
2024-11-20,23
2022-05-13,18
2024-06-18,18
2024-10-22,15
2025-01-13,21
2024-10-14,21
2024-06-03,18
2022-02-15,19
2023-12-25,19
2023-06-23,18
2024-09-02,19
2022-03-18,22
2022-09-15,21
2023-08-29,20
2024-04-12,22
2024-09-25,19
2022-10-21,17
2023-03-09,18
2023-12-01,16
2024-10-09,21
2024-02-12,21
2022-06-07,17
2023-08-16,13
2024-07-17,18
2022-02-14,16
2023-02-10,19
2024-01-11,16
2022-04-14,24
2023-05-24,24
2023-03-24,14
2022-07-26,19
2022-06-30,21
2023-07-25,21
2022-08-26,18
2024-03-22,15
2022-04-14,19
2023-12-29,17
2023-04-18,18
2024-08-12,19
2022-11-25,23
2022-11-03,22
2024-04-02,16
2023-09-29,14
2024-02-13,18
2024-05-16,18
2023-03-17,13
2022-12-28,14
2022-06-22,19
2025-02-12,16
2024-05-18,17
2022-07-06,17
2023-09-26,13
2025-02-06,14
2022-02-23,18
2023-03-16,25
2023-12-11,18
2023-02-07,14
2024-09-10,17
2025-02-04,16
2023-03-15,13
2022-07-28,20
2022-04-12,17
2023-06-23,18
2024-10-31,15
2022-02-23,21
2024-05-13,23
2023-02-23,23
2024-06-28,20
2022-10-18,24
2023-09-20,15
2024-10-17,19
2023-09-13,17
2022-05-17,18
2023-03-31,15
2024-01-16,20
2022-02-04,17
2022-04-22,16
2024-01-24,22
2024-11-26,18
2023-09-22,13
2024-04-24,15
2023-12-25,17
2022-06-20,18
2022-03-16,24
2022-04-26,16
2022-12-15,18
2022-07-01,16
2022-02-21,15
2022-12-27,17
2024-02-06,24
2024-08-05,15
2022-05-20,19
2022-03-04,17
2023-02-09,19
2023-10-19,18
2023-12-21,18
2023-09-28,15
2022-11-28,10
2023-12-18,18
2022-06-09,14
2024-07-09,23
2022-03-04,14
2022-03-03,21
2023-06-26,16
2022-07-05,14
2022-03-10,19
2024-12-03,15
2022-02-01,13
2023-03-10,16
2024-02-26,21
2024-01-05,21
2024-10-04,14
2022-08-25,15
2024-07-29,19
2023-10-11,22
2023-07-12,13
2023-12-22,17
2022-12-09,14
2024-04-11,18
2023-12-13,15
2023-08-11,22
2024-04-11,16
2023-07-26,17
2024-01-29,13
2022-03-28,17
2022-12-14,23
2022-03-23,18
2023-06-08,20
2022-09-08,23
2025-01-03,20
2024-10-18,19
2023-09-11,14
2023-12-27,15
2022-03-17,11
2024-05-10,22
2023-05-26,18
2024-03-29,15
2024-04-30,21
2023-11-13,16
2022-12-01,26
2024-05-27,24
2022-10-06,17
2022-03-28,13
2022-05-27,16
2022-06-09,20
2023-08-10,21
2023-06-13,17
2025-01-07,17
2024-08-23,15
2022-10-27,25
2022-12-14,15
2024-01-11,15
2023-06-30,12
2024-06-04,19
2022-07-19,20
2023-10-18,24
2024-08-01,17
2023-12-12,15
2022-12-20,16
2024-09-26,18
2024-12-30,16
2024-02-19,17
2024-02-13,22
2024-08-30,18
2024-12-09,18
2022-01-25,14
2023-04-28,19
2024-06-12,18
2022-06-13,19
2022-05-03,17
2024-02-09,18
2022-06-03,17
2022-08-15,17
2022-07-04,18
2022-10-21,18
2024-12-12,18
2022-06-28,23
2023-03-30,20
2022-07-25,17
2023-09-21,14
2025-01-23,15
2024-02-07,22
2022-02-08,23
2022-09-15,15
2024-06-21,19
2022-05-04,15
2022-07-04,10
2022-09-30,16
2022-02-04,16
2023-10-11,18
2023-06-15,16
2024-04-10,14
2024-10-03,19
2022-06-06,17
2022-02-16,17
2023-01-12,19
2023-05-30,16
2023-10-26,20
2022-07-28,17
2024-01-30,22
2023-11-08,20
2024-06-14,16
2023-03-09,18
2024-06-14,20
2022-08-15,16
2022-07-15,17
2023-05-09,13
2024-12-17,22
2022-12-21,21
2022-07-07,20
2023-06-07,18
2023-12-25,11
2022-11-05,21
2024-05-10,19
2023-01-19,16
2022-08-12,21
2024-09-17,17
2024-06-04,11
2023-07-13,16
2024-08-09,18
2023-11-27,22
2023-01-09,19
2024-12-13,11
2024-02-22,18
2023-12-11,15
2022-11-09,19
2022-02-03,16
2022-02-14,24
2024-10-07,21
2022-04-11,17
2023-07-21,16
2024-12-31,17
2024-03-19,21
2024-04-09,23
2023-10-17,17
2024-02-13,20
2022-05-06,17
2024-03-15,15
2023-03-07,20
2023-10-20,24
2025-01-01,17
2024-11-22,15
2022-05-13,23
2023-08-15,20
2022-04-14,19
2023-07-05,12
2022-06-28,17
2022-07-14,15
2023-05-09,20
2023-10-11,15
2022-11-04,21
2023-08-02,19
2024-11-21,15
2023-04-07,17
2024-11-01,14
2022-10-20,17
2023-07-05,21
2024-06-26,24
2024-06-04,14
2022-09-07,16
2023-05-30,19
2024-03-27,17
2024-11-20,17
2022-04-20,17
2022-07-14,16
2024-10-31,12
2023-06-29,17
2022-08-19,21
2023-10-12,18
2022-09-26,18
2022-10-05,19
2024-03-07,25
2024-10-11,14
2024-10-03,15
2023-10-20,14
2024-05-29,22
2024-10-02,15
2022-03-23,11
2024-08-19,19
2023-11-22,24
2024-06-10,22
2024-02-06,24
2023-05-05,18
2022-06-23,22
2023-11-06,20
2023-05-09,18
2024-04-05,20
2022-09-15,18
2023-03-31,24
2023-08-31,18
2023-06-29,16
2024-05-21,15
2024-11-01,13
2023-07-24,18
2024-01-30,16
2022-08-08,16
2024-02-23,15
2024-01-04,17
2023-02-09,16
2025-01-14,16
2022-11-24,19
2023-05-03,20
2023-02-01,20
2022-10-04,12
2024-03-15,13
2022-04-29,15
2022-02-04,13
2024-08-21,16
2023-08-28,22
2024-06-03,21
2024-04-18,21
2022-10-31,22
2023-01-20,16
2024-08-12,21
2022-06-06,20
2023-02-07,11
2023-04-11,16
2022-12-29,21
2023-04-07,13
2022-09-23,15
2025-01-17,22
2023-05-11,14
2022-05-18,15
2023-09-25,20
2022-05-19,17
2025-01-23,15
2024-11-08,15
2022-12-12,16
2024-12-04,19
2022-09-01,18
2023-04-04,20
2023-12-14,17
2023-03-28,16
2024-03-04,24
2024-12-31,17
2024-12-05,14
2024-04-29,20
2025-01-30,18
2024-05-01,23
2023-06-07,17
2023-05-31,15
2022-03-29,20
2024-03-25,17
2024-11-11,18
2023-08-21,16
2022-02-01,15
2022-08-01,22
2024-09-30,18
2024-04-29,15
2023-12-18,15
2022-07-12,16
2024-06-18,21
2023-06-29,17
2024-12-30,23
2023-11-03,20
2023-10-05,16
2022-09-20,20
2022-12-02,16
2022-02-02,13
2023-07-07,24
2022-05-17,19
2023-12-19,15
2023-08-22,15
2022-10-18,15
2024-12-16,21
2024-12-31,19
2022-04-24,18
2025-01-29,10
2022-09-06,14
2024-07-04,14
2022-11-24,18
2023-11-22,18
2023-03-23,18
2023-11-27,17
2022-05-02,17
2024-12-13,22
2024-04-24,19
2022-11-16,14
2023-08-03,18
2024-01-18,13
2022-03-01,15
2022-02-24,19
2024-05-29,19
2022-09-19,21
2025-01-21,20
2024-03-25,19
2024-05-16,15
2024-08-27,20
2022-04-04,20
2025-02-17,19
2024-03-18,17
2024-06-03,21
2022-03-08,18
2022-04-26,18
2023-07-03,20
2023-04-24,23
2023-05-16,15
2022-07-07,17
2023-01-05,15
2022-02-09,16
2023-05-19,16
2024-09-18,20
2024-12-19,19
2023-11-10,22
2024-01-22,16
2023-08-14,19
2023-08-08,19
2023-06-13,14
2023-09-05,22
2022-04-25,20
2024-05-17,21
2024-06-07,16
2023-04-07,9
2023-04-27,15
2024-01-17,16
2022-03-09,18
2022-07-05,17
2022-07-11,22
2024-03-10,24
2023-04-12,17
2024-12-23,19
2022-09-01,18
2024-02-20,15
2023-10-25,19
2024-07-25,17
2022-03-11,21
2022-11-15,17
2022-01-26,17
2023-05-30,19
2024-04-02,20
2022-12-09,19
2024-06-11,18
2023-05-01,17
2022-04-04,13
2022-06-02,17
2023-01-11,14
2024-06-17,19
2022-06-15,20
2022-07-15,24
2024-04-23,18
2024-03-04,17
2024-07-30,21
2023-04-10,21
2023-03-23,16
2024-05-20,18
2023-01-20,17
2022-03-07,18
2022-05-10,19
2023-06-20,18
2023-12-07,17
2022-05-24,25
2023-10-17,20
2022-11-09,21
2022-11-25,17
2024-01-12,18
2023-05-08,16
2023-01-16,18
2023-06-28,16
2024-10-15,15
2022-03-22,13
2022-03-25,19
2022-12-14,23
2023-03-20,21
2022-09-16,17
2022-05-23,18
2024-07-09,16
2022-06-20,14
2024-03-19,25
2023-08-23,16
2024-08-01,22
2024-06-06,13
2024-05-09,20
2023-03-28,24
2022-06-21,22
2023-05-30,23
2024-11-04,19
2022-12-01,17
2022-07-11,18
2022-05-24,18
2024-05-22,13
2024-09-25,16
2024-04-25,16
2023-11-13,18
2022-07-18,20
2022-10-31,18
2024-01-18,22
2022-04-05,17
2024-11-06,12
2024-04-03,16
2022-08-23,22
2024-02-26,19
2022-11-30,15
2023-10-31,21
2024-01-15,19
2024-10-15,18
2024-08-30,16
2024-04-18,14
2024-02-19,13
2024-11-15,16
2023-07-14,21
2022-12-16,20
2024-07-09,22
2024-09-20,19
2022-10-04,22
2023-06-29,20
2024-04-19,15
2023-04-14,21
2024-01-26,20
2023-09-14,17
2024-03-27,11
2024-06-26,19
2023-05-10,17
2022-08-08,18
2023-07-03,17
2023-05-15,22
2024-08-06,18
2022-12-07,10
2022-04-05,19
2024-07-24,14
2023-08-16,24
2024-10-30,22
2023-12-06,18
2024-08-14,21
2022-01-17,17
2023-03-20,19
2022-08-02,12
2023-10-03,16
2022-11-15,20
2022-12-03,17
2024-10-09,23
2023-05-02,21
2024-04-25,17
2023-02-28,22
2022-10-24,21
2022-05-10,14
2023-08-23,19
2022-10-17,24
2022-02-21,22
2023-02-21,21
2022-03-04,20
2022-04-15,19
2022-02-16,13
2022-05-25,16
2023-01-24,13
2024-01-19,20
2024-10-10,18
2023-02-08,22
2023-04-04,20
2023-02-23,13
2022-02-09,25
2024-12-20,19
2024-10-24,15
2023-09-13,18
2022-06-02,18
2023-07-21,19
2024-09-02,23
2023-03-27,21
2022-09-05,24
2022-07-13,19
2022-04-08,15
2023-05-05,21
2024-12-05,17
2023-11-22,17
2024-01-17,17
2022-05-18,18
2024-11-18,19
2023-11-17,20
2022-05-27,19
2023-07-17,19
2023-02-22,21
2024-06-04,15
2022-03-16,18
2023-11-28,21
2023-06-30,19
2022-07-04,22
2022-06-23,14
2023-10-03,21
2022-12-20,20
2023-07-11,20
2024-06-05,22
2024-06-11,18
2024-10-31,18
2023-04-27,15
2024-12-19,13
2023-03-17,16
2024-02-15,20
2024-07-18,19
2024-09-23,15
2023-10-26,19
2023-08-14,21
2022-12-28,22
2024-04-25,19
2023-08-10,16
2023-03-20,16
2023-10-06,19
2023-03-22,18
2024-09-10,18
2024-05-15,21
2024-10-04,17
2024-12-24,17
2022-05-27,19
2024-11-01,19
2022-02-04,18
2023-10-05,18
2022-11-02,18
2022-06-30,22
2024-05-16,16
2024-03-08,18
2023-12-05,21
2024-01-09,16
2022-06-03,20
2023-11-27,19
2022-05-06,13
2023-06-20,22
2024-01-30,21
2024-01-17,16
2022-07-12,18
2022-05-26,17
2022-06-20,17
2024-03-21,14
2022-07-20,19
2024-10-16,24
2023-03-09,16
2023-05-05,16
2023-06-21,21
2022-03-10,18
2022-11-21,20
2022-12-30,16
2024-12-04,19
2022-03-01,13
2022-11-16,21
2023-03-02,17
2023-08-16,15
2022-12-07,13
2024-12-25,15
2022-04-27,14
2023-04-06,21
2024-12-13,19
2022-08-31,19
2022-02-08,12
2023-11-07,20
2023-11-07,21
2022-12-19,11
2023-11-27,21
2024-01-26,20
2022-08-30,15
2023-08-14,21
2023-09-13,16
2023-09-18,18
2024-01-08,17
2024-01-11,14
2023-07-07,19
2023-08-11,18
2024-05-02,14
2024-05-08,18
2024-06-28,19
2022-03-08,16
2024-05-14,20
2023-08-09,22
2024-08-22,19
2022-10-20,22
2023-04-06,16
2025-01-08,18
2022-08-29,20
2023-10-16,12
2023-10-03,13
2024-07-16,17
2022-02-28,18
2023-08-01,14
2024-05-05,21
2023-05-11,11
2024-12-10,21
2022-08-26,20
2024-03-01,18
2024-04-03,17
2023-04-25,21
2023-03-29,18
2024-06-20,20
2022-05-16,20
2023-11-01,14
2025-01-09,18
2024-01-02,16
2023-08-10,15
2023-09-11,14
2022-03-10,18
2022-12-12,20
2023-04-17,19
2023-01-18,25
2023-10-23,18
2024-01-04,16
2022-01-19,16
2022-04-07,25
2024-03-18,18
2023-01-31,18
2023-06-27,16
2022-05-12,20
2024-10-10,20
2024-10-01,21
2024-01-12,17
2024-10-10,20
2024-11-13,12
2023-09-02,17
2023-11-03,20
2023-09-18,19
2022-02-14,18
2022-06-07,17
2022-03-21,23
2024-02-12,22
2022-07-28,17
2023-05-08,17
2022-08-29,22
2024-01-10,18
2022-09-02,18
2022-04-05,15
2023-03-16,16
2022-04-29,17
2024-10-14,23
2023-01-02,19
2024-11-29,15
2024-07-09,18
2024-10-24,19
2024-06-21,17
2022-08-25,17
2023-09-07,23
2023-02-15,18
2022-04-15,16
2022-10-17,17
2022-02-09,20
2024-11-08,18
2023-03-31,16
2023-09-21,17
2023-02-07,19
2023-09-15,17
2023-10-26,20
2024-03-28,17
2024-06-27,18
2024-12-12,16
2024-12-03,21
2024-08-08,24
2023-08-03,21
2023-05-09,17
2023-10-25,11
2022-04-27,17
2024-02-23,19
2024-01-31,24
2023-10-05,17
2023-08-07,17
2024-01-08,18
2024-04-24,17
2024-10-12,16
2022-05-03,15
2022-07-21,19
2024-06-10,22
2023-03-29,23
2022-08-01,20
2024-02-06,18
2023-12-05,16
2023-09-05,15
2023-11-01,15
2023-05-04,18
2023-07-20,14
2024-02-16,21
2024-04-11,17
2024-02-21,19
2022-04-22,14
2024-04-24,23
2022-03-18,15
2022-06-24,23
2023-03-30,18
2022-10-03,22
2024-12-06,17
2024-08-29,15
2022-10-20,23
2022-08-01,17
2024-09-27,19
2025-02-04,16
2023-01-23,21
2024-11-08,15
2024-10-14,18
2024-11-06,17
2024-09-09,19
2022-12-19,19
2023-06-07,21
2023-11-06,17
2023-06-20,17
2024-04-17,15
2022-06-04,15
2022-11-07,20
2025-01-10,18
2023-08-30,17
2023-04-18,18
2022-05-27,20
2023-07-04,17
2024-09-05,20
2024-05-03,16
2024-05-08,16
2023-01-17,26
2022-05-03,16
2024-12-03,20
2024-02-27,14
2025-01-16,14
2024-09-13,15
2023-02-23,21
2023-05-31,18
2024-02-21,14
2023-07-25,21
2024-04-10,20
2023-04-27,21
2024-11-15,17
2023-07-17,16
2024-03-01,19
2023-12-05,14
2024-10-02,23
2023-03-02,19
2023-05-18,18
2022-09-28,20
2022-08-23,17
2022-09-02,19
2023-05-08,26
2023-06-26,16
2022-08-01,13
2023-03-10,21
2024-11-07,14
2022-03-22,20
2024-01-22,21
2022-02-17,21
2024-05-21,19
2023-04-26,20
2024-09-26,16
2023-03-23,22
2023-12-27,25
2023-04-24,18
2022-12-19,20
2022-04-19,18
2023-05-05,17
2023-07-05,17
2024-05-01,15
2022-01-21,24
2022-05-17,30
2023-09-20,27
2024-10-09,20
2023-02-17,19
2024-07-15,22
2023-04-11,20
2024-06-05,17
2023-09-22,19
2022-08-09,15
2024-08-07,17
2023-03-21,12
2024-11-04,18
2023-07-28,15
2023-02-13,18
2024-10-16,17
2023-07-07,20
2024-12-11,21
2022-12-26,21
2023-10-16,10
2022-03-09,14
2024-10-01,14
2023-02-20,14
2025-01-10,22
2024-11-29,20
2025-01-27,20
2022-01-09,17
2022-07-27,21
2024-09-09,20
2023-03-06,16
2023-12-12,19
2023-09-27,17
2024-10-12,14
2023-07-20,20
2023-01-05,20
2022-06-09,17
2023-06-19,19
2023-07-19,15
2024-06-07,15
2023-05-03,22
2024-09-03,19
2024-08-02,19
2024-05-27,16
2022-11-28,16
2024-08-29,20
2022-10-12,22
2022-04-29,15
2023-06-02,19
2023-02-03,17
2022-11-25,24
2022-09-16,15
2024-12-06,18
2022-03-18,16
2022-12-29,16
2024-10-02,19
2023-08-09,24
2023-09-27,15
2024-09-09,21
2024-12-10,25
2023-11-07,16
2024-04-11,16
2024-11-20,23
2022-12-01,20
2023-01-13,14
2022-09-25,18
2023-08-10,18
2022-07-15,19
2022-03-10,15
2022-08-31,19
2022-11-17,15
2023-02-16,16
2024-03-22,20
2023-12-29,18
2022-06-08,18
2022-09-06,17
2024-11-05,17
2024-03-01,17
2022-09-22,17
2022-09-26,17
2023-10-17,24
2022-07-01,17
2024-10-07,27
2023-10-06,13
2022-06-09,18
2023-10-12,16
2023-08-17,15
2023-05-01,17
2024-06-24,13
2023-06-13,14
2024-05-22,19
2024-06-17,22
2022-11-03,21
2022-09-05,18
2024-10-01,19
2024-05-21,16
2023-12-22,12
2022-07-18,22
2023-09-15,18
2024-03-06,20
2022-02-03,18
2024-10-25,17
2023-04-25,20
2022-11-22,17
2022-07-11,15
2024-12-27,15
2022-11-18,16
2024-01-15,13
2023-09-27,17
2023-08-07,16
2023-11-24,11
2024-02-02,21
2023-09-25,13
2024-02-26,20
2023-09-26,20
2023-11-10,18
2023-05-29,17
2024-10-17,25
2023-05-11,16
2023-11-16,19
2024-06-03,13
2025-01-07,14
2023-01-13,15
2023-02-14,21
2023-01-10,21
2023-01-09,18
2023-02-24,25
2023-04-07,17
2023-09-26,25
2022-07-12,21
2023-09-06,18
2023-10-20,20
2023-01-19,21
2024-09-24,16
2024-07-01,23
2022-11-14,16
2022-09-06,16
2022-02-07,16
2024-01-23,15
2024-05-13,22
2022-11-24,15
2024-11-15,20
2022-04-15,15
2022-07-11,22
2024-03-07,22
2024-02-28,22
2022-11-30,16
2023-09-18,19
2022-09-09,22
2022-12-13,22
2024-08-05,20
2023-04-26,17
2024-01-02,20
2022-12-02,16
2022-06-23,17
2024-09-26,18
2022-04-04,17
2024-01-29,12
2023-02-20,17
2024-06-14,17
2024-03-11,20
2023-03-07,18
2024-06-26,20
2022-03-10,13
2024-11-06,15
2023-08-29,20
2024-05-14,21
2024-01-15,19
2024-08-13,18
2022-11-08,15
2023-02-27,16
2024-05-08,16
2024-03-06,23
2024-11-19,14
2022-11-18,24
2023-02-27,18
2023-11-22,21
2024-01-26,18
2024-12-31,17
2023-08-10,21
2024-07-26,24
2024-02-26,21
2023-04-04,22
2024-02-01,21
2022-12-20,15
2023-07-24,15
2022-09-01,13
2023-10-10,22
2023-11-09,19
2022-06-06,16
2024-07-29,23
2024-11-04,16
2023-02-17,13
2023-09-22,17
2024-11-01,21
2024-07-15,19
2024-04-15,24
2022-03-23,16
2024-10-25,16
2022-05-20,20
2022-07-29,16
2024-09-16,22
2023-06-26,21
2024-04-15,21
2022-11-30,19
2022-10-14,17
2022-12-02,20
2024-11-22,22
2024-02-08,16
2022-03-07,17
2024-08-13,23
2024-04-30,17
2023-02-22,18
2022-05-19,16
2022-09-27,23
2022-02-18,19
2022-08-24,15
2024-04-25,19
2024-02-27,20
2022-03-03,18
2023-10-12,18
2022-08-29,14
2024-04-22,17
2024-08-30,16
2024-02-02,16
2024-08-14,24
2025-01-07,14
2023-09-29,15
2022-06-23,14
2022-11-09,19
2023-10-25,16
2024-07-03,20
2022-07-08,17
2023-01-30,21
2023-01-06,18
2022-11-25,19
2024-04-04,16
2022-05-09,17
2022-11-07,20
2022-05-19,22
2023-05-31,19
2024-11-28,21
2023-06-22,18
2023-05-22,14
2023-03-16,20
2024-07-30,19
2023-03-14,21
2024-10-10,20
2023-08-24,19
2024-06-17,12
2024-10-21,15
2023-05-18,18
2024-06-05,21
2023-07-31,18
2022-12-16,19
2023-07-25,17
2023-04-13,17
2024-06-24,20
2022-06-14,14
2022-12-14,18
2023-09-05,15
2023-11-20,16
2022-04-07,16
2024-03-14,14
2024-09-25,19
2023-04-27,20
2024-06-17,17
2024-08-09,18
2022-05-19,16
2023-07-21,17
2023-05-12,10
2022-09-20,19
2024-06-21,14
2023-11-02,13
2022-08-10,20
2024-09-12,16
2024-08-16,21
2024-01-10,20
2022-08-16,17
2024-06-03,16
2023-03-04,22
2023-01-15,17
2024-07-16,20
2023-05-25,17
